campaign_key,campaign_name,objective
1,Outreach Sales Execution Summit,Lead Gen
2,Kaia AI Launch Webinar,Product Launch
3,Commit Forecasting Tour,Awareness
4,Pipeline Health Deep Dive Series,Engagement
5,Success Plans Deal Rooms Launch,Product Launch
6,Outbound Mastery Webinar,Lead Gen
7,Revenue Everywhere Roadshow,Branding
8,LinkedIn Paid ABM - Enterprise,Lead Gen
9,LinkedIn Paid ABM - Mid-Market,Lead Gen
10,Search - Sales Engagement Keywords,Lead Gen
11,Partner Co-Marketing: Salesforce,Lead Gen
12,Partner Co-Marketing: Snowflake,Lead Gen
13,Dreamforce 2025,Branding
14,SaaStr Annual 2025,Branding
15,Outreach Pages Launch,Product Launch
16,Deal Signals & Health Launch,Product Launch
17,Outbound Sequences Best Practices,Engagement
18,RevOps Summit 2025,Branding
19,Industry ABM - B2B SaaS,Lead Gen
20,Industry ABM - FinServ,Lead Gen
21,Industry ABM - Manufacturing,Lead Gen
22,Customer Webinar: Success Plans,Retention
23,AE Enablement Series,Engagement
24,SDR Enablement Series,Engagement
25,CSM Success Plans Series,Engagement
26,Content Syndication - Outreach Guides,Awareness
27,Content Syndication - Sales Execution,Awareness
28,Email Sequences - Enterprise,Lead Gen
29,Email Sequences - Mid-Market,Lead Gen
30,Email Sequences - SMB,Lead Gen
31,Live Event - NYC,Branding
32,Live Event - SF,Branding
33,Live Event - London,Branding
34,Webinar - Pipeline Management,Engagement
35,Webinar - Kaia in Action,Engagement
36,Webinar - Commit Forecasting,Engagement
37,Webinar - Success Plans,Engagement
38,Webinar - Outreach Pages,Engagement
39,Webinar - Deal Health & Signals,Engagement
40,Outreach Blog Series,Awareness
41,Outreach Customer Stories,Awareness
42,Outreach Product Updates,Awareness
43,Search - Kaia Keywords,Lead Gen
44,Search - Pipeline Keywords,Lead Gen
45,Search - Forecasting Keywords,Lead Gen
46,Search - Sales Execution Keywords,Lead Gen
47,Content Syndication - Guides,Awareness
48,Partner Co-Marketing: AWS,Lead Gen
49,Partner Co-Marketing: Google,Lead Gen
50,Partner Co-Marketing: Microsoft,Lead Gen
51,Analyst Relations - Reports,Awareness
52,Outbound Masterclass,Engagement
53,Revenue Summit Workshop,Engagement
54,Field Marketing Dinners,Engagement
55,Customer Advisory Board,Retention
56,Customer NPS Program,Retention
57,Onboarding Sequences,Retention
58,Expansion Sequences,Upsell
59,Renewal Sequences,Retention
60,Win-Back Sequences,Upsell
61,Demand Gen - Mid Funnel Nurture,Engagement
62,Demand Gen - Top Funnel Nurture,Awareness
63,Demand Gen - Bottom Funnel Nurture,Engagement
64,ABM - Tech Vertical,Lead Gen
65,ABM - Healthcare Vertical,Lead Gen
66,ABM - Financial Services Vertical,Lead Gen
67,ABM - Manufacturing Vertical,Lead Gen
68,ABM - Public Sector Vertical,Lead Gen
69,ABM - Retail Vertical,Lead Gen
70,ABM - Media & Telco Vertical,Lead Gen
71,Outreach Platform Launch,Product Launch
72,Outreach Sales Execution Platform,Awareness
73,Outreach Community Events,Branding
74,Sales Execution Bootcamp,Engagement
75,Outbound Excellence Series,Engagement
76,Outbound Coaching Clinic,Engagement
77,Kaia Best Practices,Engagement
78,Commit Methodology Training,Engagement
79,Pipeline Hygiene Drive,Engagement
80,Deal Risk Reduction Series,Engagement
81,Revenue Efficiency Series,Engagement
82,Forecast Accuracy Improvements,Engagement
83,AI in Sales Execution Webinar,Engagement
84,AI for SDRs Workshop,Engagement
85,AI for AEs Workshop,Engagement
86,AI for RevOps Workshop,Engagement
87,Sales Execution Maturity Model,Awareness
88,Sales Execution Benchmark Report,Awareness
89,Outbound Benchmark Report,Awareness
90,State of Sales Execution Report,Awareness
91,Outreach Pages Showcase,Awareness
92,Success Plans Showcase,Awareness
93,Deal Health Showcase,Awareness
94,Commit Forecasting Showcase,Awareness
95,Signals Showcase,Awareness
96,Outreach Platform Showcase,Awareness
97,Customer Webinar: Sales Execution,Retention
98,Customer Webinar: Kaia,Retention
99,Customer Webinar: Commit,Retention
100,Customer Webinar: Pages,Retention
